voucher_name,vouchee_name,vouchee_email
Sarah Chen,James Okafor,james.okafor@gmail.com
Sarah Chen,Priya Sharma,priya.sharma@outlook.com
Sarah Chen,Luca Moretti,luca.moretti@icloud.com
Sarah Chen,Fatima Al-Hassan,fatima.alhassan@gmail.com
Marcus Rivera,Aisha Johnson,aisha.johnson@gmail.com
Marcus Rivera,Daniel Park,dan.park@yahoo.com
Marcus Rivera,Ingrid Nilsson,ingrid.nilsson@outlook.com
Priya Sharma,Tom Wallace,tom.wallace@gmail.com
Priya Sharma,Sofia Reyes,sofia.reyes@gmail.com
Priya Sharma,Kenji Tanaka,kenji.tanaka@icloud.com
Priya Sharma,Alex Petrov,alex.petrov@outlook.com
Tom Wallace,Nina Vasquez,nina.vasquez@gmail.com
Tom Wallace,Omar Farouq,omar.farouq@gmail.com
Aisha Johnson,Chloe Dupont,chloe.dupont@gmail.com
Aisha Johnson,Felix Müller,felix.mueller@outlook.com
Aisha Johnson,Yuna Kim,yuna.kim@icloud.com
Aisha Johnson,Raj Nair,raj.nair@gmail.com
Daniel Park,Mei Lin,mei.lin@gmail.com
Daniel Park,Carlos Romero,carlos.romero@yahoo.com
Luca Moretti,Hannah Bauer,hannah.bauer@gmail.com
Luca Moretti,Sam Osei,sam.osei@outlook.com
Luca Moretti,Elena Petrova,elena.petrova@gmail.com
